Date,Open,High,Low,Close,Volume
04/18/2023,"187.15","187.69","183.58","184.31","92,067,023"
04/17/2023,"186.32","189.69","182.69","187.04","116,662,203"
04/14/2023,"183.95","186.28","182.01","185.00","96,438,656"
04/13/2023,"182.96","186.50","180.94","185.90","112,933,000"
04/12/2023,"190.74","191.58","180.31","180.54","150,256,297"
04/11/2023,"186.69","189.19","185.65","186.79","115,770,898"
04/10/2023,"179.94","185.10","176.11","184.51","142,154,594"
04/06/2023,"183.08","186.39","179.74","185.06","123,857,906"
04/05/2023,"190.52","190.68","183.76","185.52","133,882,500"
04/04/2023,"197.32","198.74","190.32","192.58","126,463,797"
04/03/2023,"199.91","202.69","192.20","194.77","169,545,906"
03/31/2023,"197.53","207.79","197.20","207.46","170,222,094"
03/30/2023,"195.58","197.33","194.42","195.28","110,252,203"
03/29/2023,"193.13","195.29","189.44","193.88","123,660,000"
03/28/2023,"192.00","192.35","185.43","189.19","98,654,641"
03/27/2023,"194.42","197.39","189.94","191.81","120,851,602"
03/24/2023,"191.65","192.36","187.15","190.41","116,531,602"
03/23/2023,"195.26","199.31","188.65","192.22","144,193,906"
03/22/2023,"199.30","200.66","190.95","191.15","150,376,406"
03/21/2023,"188.28","198.00","188.04","197.58","153,391,391"
03/20/2023,"178.08","186.44","176.35","183.25","129,684,398"
03/17/2023,"184.52","186.22","177.33","180.13","133,197,109"
03/16/2023,"180.37","185.81","178.84","184.13","121,374,492"
03/15/2023,"180.80","182.34","176.03","180.45","145,995,594"
03/14/2023,"177.31","183.80","177.14","183.26","143,717,906"
03/13/2023,"167.46","177.35","163.91","174.48","167,790,297"
03/10/2023,"175.13","178.29","168.44","173.44","191,488,891"
03/09/2023,"180.25","185.18","172.51","172.92","170,023,812"
03/08/2023,"185.04","186.50","180.00","182.00","151,897,797"
03/07/2023,"191.38","194.20","186.10","187.71","148,125,797"
03/06/2023,"198.54","198.60","192.30","193.81","128,100,094"
03/03/2023,"194.80","200.48","192.88","197.79","154,193,297"
03/02/2023,"186.74","193.75","186.01","190.90","181,979,203"
03/01/2023,"206.21","207.20","198.52","202.77","156,852,797"
02/28/2023,"210.59","211.23","203.75","205.71","153,144,891"
02/27/2023,"202.03","209.42","201.26","207.63","161,028,297"
02/24/2023,"196.33","197.67","192.80","196.88","142,228,094"
02/23/2023,"203.91","205.14","196.33","202.07","146,360,000"
02/22/2023,"197.93","201.99","191.78","200.86","191,828,500"
02/21/2023,"204.99","209.71","197.22","197.37","180,018,594"
02/17/2023,"199.99","208.44","197.50","208.31","213,738,500"
02/16/2023,"210.78","217.65","201.84","202.04","229,586,500"
02/15/2023,"211.76","214.66","206.11","214.24","182,108,609"
02/14/2023,"191.94","209.82","189.44","209.25","216,455,703"
02/13/2023,"194.42","196.30","187.61","194.64","172,475,500"
02/10/2023,"202.23","206.20","192.89","196.89","204,754,094"
02/09/2023,"207.78","214.00","204.77","207.32","215,431,391"
02/08/2023,"196.10","203.00","194.31","201.29","180,673,594"
02/07/2023,"196.43","197.50","189.55","196.81","186,010,297"
02/06/2023,"193.01","198.17","189.92","194.76","186,188,094"
02/03/2023,"183.95","199.00","183.69","189.98","232,662,000"
02/02/2023,"187.33","196.75","182.61","188.27","217,448,297"
02/01/2023,"173.89","183.81","169.93","181.41","213,806,297"
01/31/2023,"164.57","174.30","162.78","173.22","196,813,500"
01/30/2023,"178.05","179.77","166.50","166.66","230,878,797"
01/27/2023,"162.43","180.68","161.17","177.90","306,590,594"
01/26/2023,"159.97","161.42","154.76","160.27","234,815,109"
01/25/2023,"141.91","146.41","138.07","144.43","192,734,297"
01/24/2023,"143.00","146.50","141.10","143.89","158,699,109"
01/23/2023,"135.87","145.38","134.27","143.75","203,119,203"
01/20/2023,"128.68","133.51","127.35","133.42","138,858,094"
01/19/2023,"127.26","129.99","124.31","127.17","170,291,906"
01/18/2023,"136.56","136.68","127.01","128.78","195,680,297"
01/17/2023,"125.70","131.70","125.02","131.49","186,476,984"
01/13/2023,"116.55","122.63","115.60","122.40","180,714,094"
01/12/2023,"122.56","124.13","117.00","123.56","169,400,891"
01/11/2023,"122.09","125.95","120.51","123.22","183,810,797"
01/10/2023,"121.07","122.76","114.92","118.85","167,642,500"
01/09/2023,"118.96","123.52","117.11","119.77","190,284,000"
01/06/2023,"103.00","114.39","101.81","113.06","220,911,109"
01/05/2023,"110.51","111.75","107.16","110.34","157,986,297"
01/04/2023,"109.11","114.59","107.52","113.64","180,388,984"
01/03/2023,"118.47","118.80","104.64","108.10","231,402,797"
12/30/2022,"119.95","124.48","119.75","123.18","157,777,297"
12/29/2022,"120.39","123.57","117.50","121.82","221,923,297"
12/28/2022,"110.35","116.27","108.24","112.71","221,070,500"
12/27/2022,"117.50","119.67","108.76","109.10","208,643,391"
12/23/2022,"126.37","128.62","121.02","123.15","166,989,703"
12/22/2022,"136.00","136.63","122.26","125.35","210,090,297"
12/21/2022,"139.34","141.26","135.89","137.57","145,417,406"
12/20/2022,"146.05","148.47","137.66","137.80","159,563,297"
12/19/2022,"154.00","155.25","145.82","149.87","139,390,594"
12/16/2022,"159.64","160.99","150.04","150.23","139,032,188"
12/15/2022,"153.44","160.93","153.28","157.67","122,334,492"
12/14/2022,"159.25","161.62","155.31","156.80","140,682,297"
12/13/2022,"174.87","175.05","156.91","160.95","175,862,703"
12/12/2022,"176.10","177.37","167.52","167.82","109,794,492"
12/09/2022,"173.84","182.50","173.36","179.05","104,872,305"
12/08/2022,"172.20","175.20","169.06","173.44","97,624,484"
12/07/2022,"175.03","179.38","172.22","174.04","84,213,281"
12/06/2022,"181.22","183.65","175.33","179.82","92,150,812"
12/05/2022,"189.44","191.27","180.55","182.45","93,122,672"
12/02/2022,"191.78","196.25","191.11","194.86","73,645,922"
12/01/2022,"197.08","198.92","191.80","194.70","80,046,211"
11/30/2022,"182.43","194.76","180.63","194.70","109,186,398"
11/29/2022,"184.99","186.38","178.75","180.83","83,357,109"
11/28/2022,"179.96","188.50","179.00","182.92","93,038,148"
11/25/2022,"185.06","185.20","180.63","182.86","50,672,738"
11/23/2022,"173.57","183.62","172.50","183.20","109,536,703"
11/22/2022,"168.63","170.92","166.19","169.91","78,452,328"
11/21/2022,"175.85","176.77","167.54","167.87","92,882,711"
11/18/2022,"185.05","185.19","176.55","180.19","76,048,875"
11/17/2022,"183.96","186.16","180.90","183.17","64,335,969"
11/16/2022,"191.51","192.57","185.66","186.92","66,567,602"
11/15/2022,"195.88","200.82","192.06","194.42","91,293,789"
11/14/2022,"192.77","195.73","186.34","190.95","92,226,648"
11/11/2022,"186.00","196.52","182.59","195.97","114,403,602"
11/10/2022,"189.90","191.00","180.03","190.72","132,703,000"
11/09/2022,"190.78","195.89","177.12","177.59","127,062,703"
11/08/2022,"194.02","195.20","186.75","191.30","128,803,398"
11/07/2022,"208.65","208.90","196.66","197.08","93,916,523"
11/04/2022,"222.60","223.80","203.08","207.47","98,622,211"
11/03/2022,"211.36","221.20","210.14","215.31","56,538,848"
11/02/2022,"226.04","227.87","214.82","214.98","63,070,289"
11/01/2022,"234.05","237.40","227.28","227.82","62,688,820"
10/31/2022,"226.19","229.85","221.94","227.54","61,554,340"
10/28/2022,"225.40","228.86","216.35","228.52","69,152,391"
10/27/2022,"229.77","233.81","222.85","225.09","61,638,820"
10/26/2022,"219.40","230.60","218.20","224.64","85,327,078"
10/25/2022,"210.10","224.35","210.00","222.42","96,507,875"
10/24/2022,"205.82","213.50","198.59","211.25","100,446,797"
10/21/2022,"206.42","214.66","203.80","214.44","75,713,750"
10/20/2022,"208.28","215.55","202.00","207.28","117,798,094"
10/19/2022,"219.80","222.93","217.78","222.04","66,571,477"
10/18/2022,"229.50","229.82","217.25","220.19","75,891,914"
10/17/2022,"210.04","221.86","209.45","219.35","79,428,805"
10/14/2022,"224.01","226.26","204.16","204.99","94,124,516"
10/13/2022,"208.30","222.99","206.22","221.72","91,483,047"
10/12/2022,"215.33","219.30","211.51","217.24","66,860,703"
10/11/2022,"220.95","225.75","215.00","216.50","77,013,203"
10/10/2022,"223.93","226.99","218.36","222.96","67,925,023"
10/07/2022,"233.94","234.57","222.02","223.07","83,916,797"
10/06/2022,"239.44","244.58","235.35","238.13","69,298,438"
10/05/2022,"245.01","246.67","233.27","240.81","86,982,672"
10/04/2022,"250.52","257.50","242.01","249.44","109,578,492"
10/03/2022,"254.50","255.16","241.01","242.40","98,363,539"
09/30/2022,"266.15","275.57","262.47","265.25","67,726,602"
09/29/2022,"282.76","283.65","265.78","268.21","77,620,641"
09/28/2022,"283.08","289.00","277.57","287.81","54,664,809"
09/27/2022,"283.84","288.67","277.51","282.94","61,925,191"
09/26/2022,"271.83","284.09","270.31","276.01","58,076,910"
09/23/2022,"283.09","284.50","272.82","275.33","63,748,359"
09/22/2022,"299.86","301.29","285.82","288.59","70,545,406"
09/21/2022,"308.29","313.80","300.63","300.80","62,555,660"
09/20/2022,"306.91","313.33","305.58","308.73","61,642,781"
09/19/2022,"300.09","309.84","297.80","309.07","60,231,160"
09/16/2022,"299.61","303.71","295.60","303.35","87,087,789"
09/15/2022,"301.83","309.12","300.72","303.75","64,795,520"
09/14/2022,"292.24","306.00","291.64","302.61","72,628,648"
09/13/2022,"292.90","297.40","290.40","292.13","68,229,617"
09/12/2022,"300.72","305.49","300.40","304.42","48,674,602"
09/09/2022,"291.67","299.85","291.25","299.68","54,470,848"
09/08/2022,"281.30","289.50","279.76","289.26","53,713,121"
09/07/2022,"273.10","283.84","272.27","283.70","50,028,922"
09/06/2022,"272.68","275.99","265.74","274.42","55,859,980"
09/02/2022,"281.07","282.35","269.08","270.21","50,890,090"
09/01/2022,"272.58","277.58","266.15","277.16","54,287,020"
08/31/2022,"280.62","281.25","271.81","275.61","52,107,340"
08/30/2022,"287.87","288.48","272.65","277.70","50,541,762"
08/29/2022,"282.83","287.74","280.70","284.82","41,864,738"
08/26/2022,"297.43","302.00","287.47","288.09","57,163,953"
08/25/2022,"302.36","302.96","291.60","296.07","53,230,008"
08/24/2022,"297.56","303.65","296.50","297.10","57,259,708"
08/23/2022,"291.45","298.83","287.92","296.45","63,985,048"
08/22/2022,"291.91","292.40","286.30","289.91","55,843,345"
08/19/2022,"299.00","300.36","292.50","296.67","61,395,391"
08/18/2022,"306.00","306.50","301.85","302.87","47,500,529"
08/17/2022,"303.40","309.66","300.03","304.00","68,765,968"
08/16/2022,"311.67","314.67","302.88","306.56","88,136,301"
08/15/2022,"301.79","313.13","301.23","309.32","89,359,170"
08/12/2022,"289.42","300.16","285.03","300.03","79,657,288"
08/11/2022,"296.51","298.24","285.83","286.63","70,155,058"
